source;target;number;playerName;age;position;value;transferFee;season;loanEnd;loanStart;loanFee;sourceOriginal;targetOriginal;transferFeeOriginal
Sportfreunde Hamborn 07;1.FC Saarbrücken;1;Werner Rinas;24;fwd;NA;0;1963;0;0;NA;Sportfreunde Hamborn 07;1.FC Saarbrücken;ablösefrei
Schwarz-Weiß Essen;1.FC Saarbrücken;2;Heinz Steinmann;25;def;NA;NA;1963;0;0;NA;Schwarz-Weiß Essen;1.FC Saarbrücken;?
TuS Neuendorf1;1.FC Saarbrücken;3;Werner Hölzenbein;24;fwd;NA;NA;1963;0;0;NA;TuS Neuendorf1;1.FC Saarbrücken;?
Unbekannt;1.FC Saarbrücken;4;Gottfried Peter;18;mid;NA;NA;1963;0;0;NA;Unbekannt;1.FC Saarbrücken;?
1.FC Saarbrücken;SV Werder Bremen;5;Wolfgang Schwierzke;26;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;SV Werder Bremen;?
1.FC Saarbrücken;Eintracht Braunschweig;6;Erich Maas;22;fwd;NA;NA;1963;0;0;NA;1.FC Saarbrücken;Eintracht Braunschweig;?
1.FC Saarbrücken;VfR Wormatia Worms;7;Dieter Bedürftig;25;mid;NA;NA;1963;0;0;NA;1.FC Saarbrücken;VfR Wormatia Worms;?
1.FC Saarbrücken;TuS Herrensohr;8;Werner Prauss;29;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;TuS Herrensohr;?
1.FC Saarbrücken;SV Saar 05 Saarbrücken;9;Klaus Fritzinger;26;def;NA;NA;1963;0;0;NA;1.FC Saarbrücken;SV Saar 05 Saarbrücken;?
Ajax Amsterdam;1.FC Kaiserslautern;10;Co Prins;25;fwd;NA;60000;1963;0;0;NA;Ajax Amsterdam;1.FC Kaiserslautern;60 Tsd. €
1.FSV Mainz 05;1.FC Kaiserslautern;11;Horst-Dieter Strich;22;gkp;NA;0;1963;0;0;NA;1.FSV Mainz 05;1.FC Kaiserslautern;ablösefrei
Rot-Weiß Oberhausen;1.FC Kaiserslautern;12;Wilhelm Wrenger;25;mid;NA;NA;1963;0;0;NA;Rot-Weiß Oberhausen;1.FC Kaiserslautern;?
VfR Wormatia Worms;1.FC Kaiserslautern;13;Harald Braner;19;fwd;NA;NA;1963;0;0;NA;VfR Wormatia Worms;1.FC Kaiserslautern;?
1.FC Kaiserslautern;SV Weingarten;14;Gerhard Settelmeyer;22;fwd;NA;0;1963;0;0;NA;1.FC Kaiserslautern;SV Weingarten;ablösefrei
1.FC Kaiserslautern;Sperre;15;Manfred Feldmüller;23;fwd;NA;NA;1963;0;0;NA;1.FC Kaiserslautern;Sperre;?
1.FC Kaiserslautern;SSV Reutlingen 05;16;Werner Fritschi;30;fwd;NA;NA;1963;0;0;NA;1.FC Kaiserslautern;SSV Reutlingen 05;?
